modelId,manufacturerId,modelYearFrom,modelYearTo,modelName,isPassengerCar,isCommercialVehicle,isMotorbike,isLcv,isDriverCab,IsAxle,IsEngine,isBus,isAftermarket,isTractor,isVirtualOEM
6781,138,9/1/1996,9/30/2000,OMEGA SUPREMA,1,0,0,0,0,0,0,0,0,1,0
11522,138,12/1/2012,null,ONIX,1,0,0,0,0,0,0,0,0,1,0
11588,138,1/1/1971,12/31/1981,OPALA Saloon,1,0,0,0,0,0,0,0,0,1,0
9890,138,6/1/1981,12/31/1992,OPALA Saloon,1,0,0,0,0,0,0,0,0,1,0
11587,138,1/1/1971,12/31/1981,OPALA Coupe,1,0,0,0,0,0,0,0,0,1,0
9706,138,6/1/1981,12/31/1992,OPALA Coupe,1,0,0,0,0,0,0,0,0,1,0
11581,138,1/1/1974,12/31/1981,OPALA Estate,1,0,0,0,0,0,0,0,0,1,0
11580,138,6/1/1981,12/31/1992,OPALA Estate,1,0,0,0,0,0,0,0,0,1,0
6106,138,6/1/1999,7/31/2003,OPTRA,1,0,0,0,0,0,0,0,0,1,0
6107,138,8/1/2003,null,OPTRA (1J_),1,0,0,0,0,0,0,0,0,1,0
8975,138,8/1/2003,null,OPTRA Hatchback,1,0,0,0,0,0,0,0,0,1,0
10335,138,9/1/2001,12/31/2008,OPTRA Estate,1,0,0,0,0,0,0,0,0,1,0
37090,138,1/1/2011,null,OPTRA,1,0,0,0,0,0,0,0,0,1,0
9083,138,12/1/2010,null,ORLANDO (J309),1,0,0,0,0,0,0,0,0,1,1
30778,138,9/1/1974,12/31/1980,P10 Standard Cargo Van,1,0,0,0,0,0,0,0,0,0,0
30779,138,9/1/1974,12/31/1980,P10 Stripped Chassis,1,0,0,0,0,0,0,0,0,0,0
30782,138,9/1/1974,12/31/1989,P20 Standard Cargo Van,1,0,0,0,0,0,0,0,0,1,0
30783,138,9/1/1974,12/31/1987,P20 Stripped Chassis,1,0,0,0,0,0,0,0,0,1,0
35036,138,9/1/1987,12/31/1989,P20 Stripped Chassis,1,0,0,0,0,0,0,0,0,1,0
30790,138,9/1/1967,12/31/1974,P30 VAN Box,1,0,0,0,0,0,0,0,0,0,0
30787,138,9/1/1974,12/31/1994,P30 Standard Cargo Van,1,0,0,0,0,0,0,0,0,1,0
30786,138,1/1/1975,12/31/1999,P30 Cab & Chassis,1,0,0,0,0,0,0,0,0,1,0
30788,138,9/1/1974,12/31/1987,P30 Stripped Chassis,1,0,0,0,0,0,0,0,0,1,0
35037,138,9/1/1987,12/31/2002,P30 Stripped Chassis,1,0,0,0,0,0,0,0,0,1,0
9891,138,10/1/2006,null,PRISMA,1,0,0,0,0,0,0,0,0,1,0
